admin0,admin1,date,cases,deaths
Ecuador,Azuay,5/1/2020,490,16
Ecuador,Bolivar,5/1/2020,151,13
Ecuador,Canar,5/1/2020,312,9
Ecuador,Carchi,5/1/2020,58,5
Ecuador,Chimborazo,5/1/2020,208,37
Ecuador,Cotopaxi,5/1/2020,120,19
Ecuador,El Oro,5/1/2020,559,83
Ecuador,Esmeraldas,5/1/2020,208,20
Ecuador,Galapagos,5/1/2020,70,1
Ecuador,Guayas,5/1/2020,11207,514
Ecuador,Imbabura,5/1/2020,98,9
Ecuador,Loja,5/1/2020,251,11
Ecuador,Los Rios,5/1/2020,803,38
Ecuador,Manabi,5/1/2020,633,111
Ecuador,Morona Santiago,5/1/2020,72,1
Ecuador,Napo,5/1/2020,30,2
Ecuador,Orellana,5/1/2020,35,1
Ecuador,Pastaza,5/1/2020,50,3
Ecuador,Pichincha,5/1/2020,1507,75
Ecuador,Santa Elena,5/1/2020,412,49
Ecuador,Sto. Domingo Tsachilas,5/1/2020,244,23
Ecuador,Sucumbios,5/1/2020,44,2
Ecuador,Tungurahua,5/1/2020,189,19
Ecuador,Zamora Chinchipe,5/1/2020,55,2
Ecuador,Azuay,6/1/2020,881,33
Ecuador,Bolivar,6/1/2020,316,24
Ecuador,Canar,6/1/2020,343,30
Ecuador,Carchi,6/1/2020,167,11
Ecuador,Chimborazo,6/1/2020,428,110
Ecuador,Cotopaxi,6/1/2020,460,56
Ecuador,El Oro,6/1/2020,1167,184
Ecuador,Esmeraldas,6/1/2020,915,84
Ecuador,Galapagos,6/1/2020,76,1
Ecuador,Guayas,6/1/2020,14091,1410
Ecuador,Imbabura,6/1/2020,220,14
Ecuador,Loja,6/1/2020,428,24
Ecuador,Los Rios,6/1/2020,1541,198
Ecuador,Manabi,6/1/2020,2328,447
Ecuador,Morona Santiago,6/1/2020,129,3
Ecuador,Napo,6/1/2020,220,15
Ecuador,Orellana,6/1/2020,256,4
Ecuador,Pastaza,6/1/2020,279,5
Ecuador,Pichincha,6/1/2020,4042,307
Ecuador,Santa Elena,6/1/2020,787,281
Ecuador,Sto. Domingo Tsachilas,6/1/2020,1095,75
Ecuador,Sucumbios,6/1/2020,126,5
Ecuador,Tungurahua,6/1/2020,513,68
Ecuador,Zamora Chinchipe,6/1/2020,230,5
Ecuador,Azuay,7/1/2020,1791,52
Ecuador,Bolivar,7/1/2020,654,35
Ecuador,Canar,7/1/2020,545,45
Ecuador,Carchi,7/1/2020,303,17
Ecuador,Chimborazo,7/1/2020,777,156
Ecuador,Cotopaxi,7/1/2020,1097,124
Ecuador,El Oro,7/1/2020,2042,251
Ecuador,Esmeraldas,7/1/2020,2087,139
Ecuador,Galapagos,7/1/2020,97,1
Ecuador,Guayas,7/1/2020,15903,1597
Ecuador,Imbabura,7/1/2020,603,40
Ecuador,Loja,7/1/2020,882,45
Ecuador,Los Rios,7/1/2020,2284,259
Ecuador,Manabi,7/1/2020,4499,634
Ecuador,Morona Santiago,7/1/2020,796,10
Ecuador,Napo,7/1/2020,593,31
Ecuador,Orellana,7/1/2020,753,19
Ecuador,Pastaza,7/1/2020,705,22
Ecuador,Pichincha,7/1/2020,7931,510
Ecuador,Santa Elena,7/1/2020,932,326
Ecuador,Sto. Domingo Tsachilas,7/1/2020,2039,120
Ecuador,Sucumbios,7/1/2020,422,20
Ecuador,Tungurahua,7/1/2020,1022,107
Ecuador,Zamora Chinchipe,7/1/2020,544,16
Ecuador,Azuay,8/1/2020,3439,72
Ecuador,Bolivar,8/1/2020,1152,51
Ecuador,Canar,8/1/2020,750,51
Ecuador,Carchi,8/1/2020,923,29
Ecuador,Chimborazo,8/1/2020,1441,221
Ecuador,Cotopaxi,8/1/2020,2121,168
Ecuador,El Oro,8/1/2020,3233,334
Ecuador,Esmeraldas,8/1/2020,3230,186
Ecuador,Galapagos,8/1/2020,103,1
Ecuador,Guayas,8/1/2020,17576,1657
Ecuador,Imbabura,8/1/2020,1494,71
Ecuador,Loja,8/1/2020,2610,86
Ecuador,Los Rios,8/1/2020,2864,316
Ecuador,Manabi,8/1/2020,6565,790
Ecuador,Morona Santiago,8/1/2020,2055,14
Ecuador,Napo,8/1/2020,947,49
Ecuador,Orellana,8/1/2020,1336,34
Ecuador,Pastaza,8/1/2020,1377,44
Ecuador,Pichincha,8/1/2020,14919,727
Ecuador,Santa Elena,8/1/2020,1151,331
Ecuador,Sto. Domingo Tsachilas,8/1/2020,3679,249
Ecuador,Sucumbios,8/1/2020,1186,50
Ecuador,Tungurahua,8/1/2020,2147,171
Ecuador,Zamora Chinchipe,8/1/2020,978,34
Ecuador,Azuay,5/2/2020,505,16
Ecuador,Bolivar,5/2/2020,162,13
Ecuador,Canar,5/2/2020,328,10
Ecuador,Carchi,5/2/2020,63,6
Ecuador,Chimborazo,5/2/2020,208,45
Ecuador,Cotopaxi,5/2/2020,122,25
Ecuador,El Oro,5/2/2020,575,103
Ecuador,Esmeraldas,5/2/2020,212,28
Ecuador,Galapagos,5/2/2020,70,1
Ecuador,Guayas,5/2/2020,11695,665
Ecuador,Imbabura,5/2/2020,99,9
Ecuador,Loja,5/2/2020,270,16
Ecuador,Los Rios,5/2/2020,903,58
Ecuador,Manabi,5/2/2020,799,125
Ecuador,Morona Santiago,5/2/2020,72,1
Ecuador,Napo,5/2/2020,36,3
Ecuador,Orellana,5/2/2020,39,1
Ecuador,Pastaza,5/2/2020,52,3
Ecuador,Pichincha,5/2/2020,1593,88
Ecuador,Santa Elena,5/2/2020,470,85
Ecuador,Sto. Domingo Tsachilas,5/2/2020,285,34
Ecuador,Sucumbios,5/2/2020,45,2
Ecuador,Tungurahua,5/2/2020,200,32
Ecuador,Zamora Chinchipe,5/2/2020,60,2
Ecuador,Azuay,6/2/2020,900,33
Ecuador,Bolivar,6/2/2020,321,28
Ecuador,Canar,6/2/2020,344,30
Ecuador,Carchi,6/2/2020,168,12
Ecuador,Chimborazo,6/2/2020,433,111
Ecuador,Cotopaxi,6/2/2020,483,57
Ecuador,El Oro,6/2/2020,1210,189
Ecuador,Esmeraldas,6/2/2020,986,85
Ecuador,Galapagos,6/2/2020,76,1
Ecuador,Guayas,6/2/2020,14128,1418
Ecuador,Imbabura,6/2/2020,222,14
Ecuador,Loja,6/2/2020,448,25
Ecuador,Los Rios,6/2/2020,1545,205
Ecuador,Manabi,6/2/2020,2379,450
Ecuador,Morona Santiago,6/2/2020,131,5
Ecuador,Napo,6/2/2020,229,18
Ecuador,Orellana,6/2/2020,273,4
Ecuador,Pastaza,6/2/2020,282,5
Ecuador,Pichincha,6/2/2020,4087,311
Ecuador,Santa Elena,6/2/2020,795,281
Ecuador,Sto. Domingo Tsachilas,6/2/2020,1111,78
Ecuador,Sucumbios,6/2/2020,133,5
Ecuador,Tungurahua,6/2/2020,527,68
Ecuador,Zamora Chinchipe,6/2/2020,247,5
Ecuador,Azuay,7/2/2020,1843,60
Ecuador,Bolivar,7/2/2020,690,37
Ecuador,Canar,7/2/2020,548,45
Ecuador,Carchi,7/2/2020,320,17
Ecuador,Chimborazo,7/2/2020,783,156
Ecuador,Cotopaxi,7/2/2020,1148,125
Ecuador,El Oro,7/2/2020,2073,252
Ecuador,Esmeraldas,7/2/2020,2156,139
Ecuador,Galapagos,7/2/2020,97,1
Ecuador,Guayas,7/2/2020,15973,1600
Ecuador,Imbabura,7/2/2020,617,40
Ecuador,Loja,7/2/2020,981,45
Ecuador,Los Rios,7/2/2020,2320,268
Ecuador,Manabi,7/2/2020,4551,636
Ecuador,Morona Santiago,7/2/2020,849,10
Ecuador,Napo,7/2/2020,613,33
Ecuador,Orellana,7/2/2020,775,19
Ecuador,Pastaza,7/2/2020,760,22
Ecuador,Pichincha,7/2/2020,8253,527
Ecuador,Santa Elena,7/2/2020,943,326
Ecuador,Sto. Domingo Tsachilas,7/2/2020,2151,136
Ecuador,Sucumbios,7/2/2020,430,21
